id,surface_name,layer,status
UXB-SURFACE-055,DICT,mir_json_status,MISSING
UXB-SURFACE-055,DICT,x64_ast_status,MISSING
UXB-SURFACE-055,DICT,x64_mir_status,MISSING
UXB-SURFACE-055,DICT,x86_status,MISSING
UXB-SURFACE-056,LIST,mir_verify_status,MISSING
UXB-SURFACE-056,LIST,mir_json_status,MISSING
UXB-SURFACE-056,LIST,x64_mir_status,MISSING
UXB-SURFACE-056,LIST,library_binding_status,MISSING
UXB-SURFACE-057,SET,mir_verify_status,MISSING
UXB-SURFACE-057,SET,mir_json_status,MISSING
UXB-SURFACE-057,SET,x86_status,MISSING
UXB-SURFACE-058,ABSTRACT,type_binding_status,MISSING
UXB-SURFACE-058,ABSTRACT,layout_status,MISSING
UXB-SURFACE-058,ABSTRACT,hir_status,MISSING
UXB-SURFACE-058,ABSTRACT,mir_status,MISSING
UXB-SURFACE-058,ABSTRACT,mir_verify_status,MISSING
UXB-SURFACE-058,ABSTRACT,mir_json_status,MISSING
UXB-SURFACE-058,ABSTRACT,vscode_evidence_status,MISSING
UXB-SURFACE-059,ALIAS,semantic_status,MISSING
